cluster_id,n_nodes,n_seed,sum_kzt_internal,inflow_external,outflow_external,top_gids,roles,hypothesis,source
0,156,0,19072731.00000000,7472182.00000000,5101563.00000000,100000008603629100|100000000437046100|100000008477350100|100000002723538100|100000008686313100,"{""consolidator"": 8, ""coordinator"": 2, ""distributor"": 13, ""peripheral"": 69, ""terminal"": 61, ""transit"": 3}",Признаки распределительного контура; требует проверки.,real
1,50,1,8690690.00000000,2713407.00000000,302384.80000000,100000005782781100|100000003854444100|100000007594394100|100000008731444100|100000006274203100,"{""consolidator"": 3, ""distributor"": 4, ""peripheral"": 18, ""terminal"": 23, ""transit"": 2}",Признаки распределительного контура; требует проверки.,real
2,57,1,10627374.02000000,1044400.00000000,1261360.40000000,100000002894076100|100000005473151100|100000008545727100|100000003158727100|100000000267734100,"{""consolidator"": 2, ""distributor"": 3, ""peripheral"": 16, ""terminal"": 34, ""transit"": 2}",Признаки контура консолидации; требует проверки.,real
3,80,2,12140021.00000000,3081927.00000000,3618791.00000000,100000008748914100|100000003684369100|100000007898453100|100000001072022100|100000005031696100,"{""distributor"": 2, ""peripheral"": 18, ""terminal"": 57, ""transit"": 3}",Признаки распределительного контура; требует проверки.,real
4,159,2,22572944.56000000,208042.00000000,2223658.00000000,100000004156082100|100000004150593100|100000008636603100|100000008389800100|100000003016635100,"{""consolidator"": 4, ""coordinator"": 2, ""distributor"": 16, ""peripheral"": 43, ""terminal"": 89, ""transit"": 5}",Признаки распределительного контура; требует проверки.,real
5,152,1,16021766.55000000,5536807.30000000,6483045.23000000,100000002957787100|100000008304139100|100000004070318100|100000005910114100|100000003115284100,"{""consolidator"": 14, ""distributor"": 20, ""peripheral"": 52, ""terminal"": 63, ""transit"": 3}",Признаки распределительного контура; требует проверки.,real
6,29,1,4459414.64000000,764426.00000000,958056.00000000,100000003071930100|100000006972210100|100000005498992100|100000001162560100|100000006443391100,"{""consolidator"": 1, ""distributor"": 2, ""peripheral"": 4, ""terminal"": 22}",Контур наблюдаемых получателей; требует проверки.,real
7,82,0,5941784.00000000,708921.68000000,2741996.00000000,100000004400305100|100000003213473100|100000002645609100|100000001126374100|100000004325327100,"{""consolidator"": 2, ""distributor"": 4, ""peripheral"": 42, ""terminal"": 31, ""transit"": 3}",Признаки распределительного контура; требует проверки.,real
8,5,0,1189154.00000000,8000.00000000,0.00000000,100000000291908100|100000000291906100|100000004670388100|100000004722630100|100000004691350100,"{""peripheral"": 4, ""terminal"": 1}",Контур наблюдаемых получателей; требует проверки.,real
9,53,1,2993313.00000000,275843.40000000,138771.00000000,100000008443341100|100000001899164100|100000003265158100|100000004420041100|100000004662806100,"{""consolidator"": 1, ""coordinator"": 2, ""distributor"": 2, ""peripheral"": 19, ""terminal"": 26, ""transit"": 3}",Связующий контур: кандидат на межгрупповое взаимодействие; требует проверки.,real
10,6,1,1615030.00000000,0.00000000,0.00000000,100000008193577100|100000008751429100|100000008736940100|100000005456919100|100000008659445100,"{""consolidator"": 2, ""distributor"": 2, ""terminal"": 2}",Признаки распределительного контура; требует проверки.,real
11,109,0,27283424.91000000,2138071.00000000,7073432.00000000,100000000331309100|100000004906181100|100000008324800100|100000001330685100|100000008490127100,"{""distributor"": 5, ""peripheral"": 48, ""terminal"": 53, ""transit"": 3}",Признаки распределительного контура; требует проверки.,real
12,48,3,6458943.80000000,1927917.00000000,1155530.00000000,100000006889963100|100000000343175100|100000003635170100|100000005168487100|100000004677680100,"{""consolidator"": 1, ""distributor"": 3, ""peripheral"": 9, ""terminal"": 29, ""transit"": 6}",Признаки контура консолидации; требует проверки.,real
13,59,0,3335052.00000000,984835.00000000,694463.00000000,100000008346837100|100000004847758100|100000005048668100|100000005074393100|100000008546855100,"{""consolidator"": 3, ""coordinator"": 1, ""distributor"": 4, ""peripheral"": 33, ""terminal"": 17, ""transit"": 1}",Признаки распределительного контура; требует проверки.,real
14,15,0,850450.00000000,13070.00000000,0.00000000,100000001526235100|100000001788284100|100000002472632100|100000005505655100|100000004445291100,"{""distributor"": 2, ""peripheral"": 10, ""terminal"": 3}",Признаки распределительного контура; требует проверки.,real
15,15,0,3626010.00000000,5300.00000000,0.00000000,100000008461532100|100000000791285100|100000006704530100|100000003122817100|100000002691583100,"{""distributor"": 1, ""peripheral"": 9, ""terminal"": 5}",Признаки распределительного контура; требует проверки.,real
