cluster_id,n_nodes,n_seed,sum_kzt_internal,inflow_external,outflow_external,top_gids,roles,hypothesis,source
16,58,5,8215242.53000000,2183015.00000000,2398637.00000000,100000003880331100|100000001857829100|100000008121806100|100000008733194100|100000007908818100,"{""consolidator"": 1, ""distributor"": 5, ""peripheral"": 29, ""terminal"": 15, ""transit"": 8}",Признаки распределительного контура; требует проверки.,real
17,34,5,3941939.00000000,326347.00000000,40600.00000000,100000004707703100|100000004076740100|100000005519998100|100000004017410100|100000007382543100,"{""consolidator"": 1, ""distributor"": 4, ""peripheral"": 18, ""terminal"": 7, ""transit"": 4}",Признаки транзитной цепочки; требует проверки.,real
18,1,1,0.00000000,0.00000000,0.00000000,100000000456947100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
19,48,0,10044238.84000000,1203901.00000000,429079.00000000,100000005933757100|100000002963189100|100000008104567100|100000004159526100|100000002605308100,"{""consolidator"": 1, ""coordinator"": 1, ""distributor"": 2, ""peripheral"": 18, ""terminal"": 26}",Признаки распределительного контура; требует проверки.,real
20,7,0,143000.00000000,5132.00000000,0.00000000,100000004508696100|100000005911352100|100000000507799100|100000003962994100|100000005127767100,"{""peripheral"": 4, ""terminal"": 2, ""transit"": 1}",Признаки транзитной цепочки; требует проверки.,real
21,17,1,21586840.00000000,17000.00000000,0.00000000,100000002224132100|100000004603109100|100000000594783100|100000004892144100|100000000552584100,"{""consolidator"": 1, ""distributor"": 2, ""peripheral"": 5, ""terminal"": 9}",Признаки распределительного контура; требует проверки.,real
22,2,0,34547.00000000,13075.00000000,0.00000000,100000000572276100|100000008745676100,"{""peripheral"": 2}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
23,6,1,1527967.00000000,0.00000000,0.00000000,100000007939160100|100000000580561100|100000005183943100|100000003888271100|100000007930878100,"{""distributor"": 1, ""terminal"": 4, ""transit"": 1}",Контур наблюдаемых получателей; требует проверки.,real
24,70,0,16096068.00000000,858327.00000000,859800.00000000,100000007442518100|100000008460102100|100000001287955100|100000000673868100|100000005242320100,"{""distributor"": 4, ""peripheral"": 38, ""terminal"": 27, ""transit"": 1}",Признаки распределительного контура; требует проверки.,real
25,41,1,1875355.00000000,113000.00000000,703626.00000000,100000005665181100|100000005612411100|100000008172352100|100000004475818100|100000004358004100,"{""distributor"": 4, ""peripheral"": 15, ""terminal"": 20, ""transit"": 2}",Признаки распределительного контура; требует проверки.,real
26,2,0,66666.00000000,20000.00000000,0.00000000,100000004192865100|100000000607731100,"{""peripheral"": 1, ""terminal"": 1}",Контур наблюдаемых получателей; требует проверки.,real
27,42,0,5438969.00000000,651903.00000000,1690730.00000000,100000004351795100|100000003242289100|100000008512552100|100000003178549100|100000002217161100,"{""coordinator"": 1, ""distributor"": 4, ""peripheral"": 14, ""terminal"": 21, ""transit"": 2}",Признаки распределительного контура; требует проверки.,real
28,18,0,3422800.00000000,302009.00000000,51400.00000000,100000008137435100|100000003701161100|100000002267998100|100000003718221100|100000001063678100,"{""consolidator"": 1, ""distributor"": 2, ""peripheral"": 2, ""terminal"": 10, ""transit"": 3}",Признаки распределительного контура; требует проверки.,real
29,39,0,2090445.00000000,130073.00000000,210000.00000000,100000001697501100|100000002733905100|100000001166289100|100000005342513100|100000004825069100,"{""distributor"": 1, ""peripheral"": 3, ""terminal"": 34, ""transit"": 1}",Признаки распределительного контура; требует проверки.,real
30,42,0,4121910.00000000,1167173.00000000,0.00000000,100000001530983100|100000002205022100|100000004180097100|100000003154105100|100000002939838100,"{""coordinator"": 1, ""distributor"": 5, ""peripheral"": 18, ""terminal"": 16, ""transit"": 2}",Признаки распределительного контура; требует проверки.,real
31,112,0,4050628.00000000,120000.00000000,138075.00000000,100000002578405100|100000001632325100|100000005041905100|100000008687617100|100000004292885100,"{""distributor"": 1, ""peripheral"": 1, ""terminal"": 110}",Признаки распределительного контура; требует проверки.,real
32,4,1,175000.00000000,160000.00000000,156500.00000000,100000006232815100|100000004463277100|100000000703894100|100000005669845100,"{""distributor"": 1, ""peripheral"": 1, ""terminal"": 2}",Признаки распределительного контура; требует проверки.,real
33,109,1,3259876.00000000,90000.00000000,68373.00000000,100000002527114100|100000001952325100|100000004254434100|100000008737422100|100000004792397100,"{""distributor"": 1, ""peripheral"": 2, ""terminal"": 106}",Признаки распределительного контура; требует проверки.,real
34,6,0,252813.00000000,75100.00000000,1247014.00000000,100000004160650100|100000002886166100|100000003338583100|100000004064431100|100000004007197100,"{""distributor"": 1, ""peripheral"": 2, ""terminal"": 3}",Признаки распределительного контура; требует проверки.,real
35,179,4,46199870.62000000,3412274.00000000,1444095.00000000,100000008547948100|100000008489922100|100000008466579100|100000008547844100|100000008465789100,"{""consolidator"": 13, ""coordinator"": 1, ""distributor"": 18, ""peripheral"": 79, ""terminal"": 65, ""transit"": 3}",Признаки распределительного контура; требует проверки.,real
36,11,0,3784703.00000000,68702.80000000,0.00000000,100000002175422100|100000003004487100|100000002975437100|100000003557488100|100000001317336100,"{""coordinator"": 1, ""distributor"": 1, ""peripheral"": 5, ""terminal"": 4}",Признаки распределительного контура; требует проверки.,real
37,3,1,450000.00000000,0.00000000,0.00000000,100000002371751100|100000007018630100|100000000769919100,"{""peripheral"": 1, ""terminal"": 1, ""transit"": 1}",Признаки транзитной цепочки; требует проверки.,real
38,4,1,1404980.00000000,0.00000000,0.00000000,100000001872484100|100000008601794100|100000000785800100|100000002459163100,"{""peripheral"": 3, ""terminal"": 1}",Контур наблюдаемых получателей; требует проверки.,real
39,58,0,3183173.62000000,622597.00000000,459265.00000000,100000005704413100|100000006707582100|100000005578559100|100000004569484100|100000002838861100,"{""consolidator"": 2, ""coordinator"": 1, ""distributor"": 4, ""peripheral"": 27, ""terminal"": 23, ""transit"": 1}",Признаки распределительного контура; требует проверки.,real
40,84,3,11630758.00000000,1219353.80000000,1640000.00000000,100000004015047100|100000001937767100|100000002152857100|100000005514161100|100000003111305100,"{""consolidator"": 8, ""distributor"": 9, ""peripheral"": 21, ""terminal"": 42, ""transit"": 4}",Признаки контура консолидации; требует проверки.,real
41,2,0,10000.00000000,12000.00000000,0.00000000,100000000979567100|100000004739664100,"{""peripheral"": 1, ""terminal"": 1}",Контур наблюдаемых получателей; требует проверки.,real
42,11,0,1868224.00000000,28000.00000000,274000.00000000,100000008603331100|100000004715209100|100000002032323100|100000008190411100|100000001046057100,"{""distributor"": 1, ""peripheral"": 6, ""terminal"": 3, ""transit"": 1}",Признаки распределительного контура; требует проверки.,real
43,20,0,1691898.19000000,1130260.75000000,169948.30000000,100000008413748100|100000006734214100|100000001689968100|100000002713074100|100000002570206100,"{""consolidator"": 1, ""distributor"": 1, ""peripheral"": 9, ""terminal"": 9}",Признаки распределительного контура; требует проверки.,real
44,23,0,5253717.00000000,1509352.00000000,120001.00000000,100000008343874100|100000006977207100|100000003171587100|100000002936322100|100000002459832100,"{""distributor"": 1, ""peripheral"": 11, ""terminal"": 10, ""transit"": 1}",Признаки транзитной цепочки; требует проверки.,real
45,5,0,711000.00000000,615370.00000000,296960.00000000,100000002731501100|100000003031890100|100000001330595100|100000003275398100|100000002257794100,"{""distributor"": 1, ""peripheral"": 1, ""terminal"": 3}",Признаки распределительного контура; требует проверки.,real
46,3,0,163550.00000000,120000.00000000,210000.00000000,100000001380054100|100000005077484100|100000005055454100,"{""distributor"": 1, ""terminal"": 2}",Признаки распределительного контура; требует проверки.,real
47,31,15,2414650.00000000,355230.00000000,81495.00000000,100000004403675100|100000003809101100|100000008254069100|100000005382566100|100000003190207100,"{""consolidator"": 3, ""coordinator"": 2, ""distributor"": 1, ""peripheral"": 17, ""terminal"": 4, ""transit"": 4}",Связующий контур: кандидат на межгрупповое взаимодействие; требует проверки.,real
48,6,0,2540000.00000000,12000.00000000,0.00000000,100000004717647100|100000004479404100|100000002922000100|100000002659103100|100000001533161100,"{""distributor"": 1, ""peripheral"": 5}",Признаки распределительного контура; требует проверки.,real
49,2,0,596200.00000000,50000.00000000,0.00000000,100000003164661100|100000001782980100,"{""peripheral"": 1, ""terminal"": 1}",Контур наблюдаемых получателей; требует проверки.,real
50,4,1,79050.00000000,0.00000000,0.00000000,100000003148220100|100000004971871100|100000001852140100|100000006888238100,"{""peripheral"": 2, ""terminal"": 1, ""transit"": 1}",Признаки транзитной цепочки; требует проверки.,real
51,2,0,213000.00000000,17200.00000000,0.00000000,100000003192309100|100000002214383100,"{""peripheral"": 2}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
52,2,0,76950.00000000,7950.00000000,0.00000000,100000002214664100|100000008778010100,"{""peripheral"": 2}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
53,6,1,275885.00000000,0.00000000,0.00000000,100000005895525100|100000002462183100|100000005485830100|100000005056870100|100000007175718100,"{""distributor"": 1, ""terminal"": 5}",Контур наблюдаемых получателей; требует проверки.,real
54,5,1,2809200.00000000,0.00000000,0.00000000,100000004135268100|100000008571433100|100000004979498100|100000002738256100|100000007507343100,"{""peripheral"": 2, ""terminal"": 1, ""transit"": 2}",Признаки транзитной цепочки; требует проверки.,real
55,2,1,30000.00000000,0.00000000,0.00000000,100000003980083100|100000003200071100,"{""peripheral"": 1, ""terminal"": 1}",Контур наблюдаемых получателей; требует проверки.,real
56,1,1,0.00000000,0.00000000,0.00000000,100000003265658100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
57,1,1,0.00000000,0.00000000,0.00000000,100000003349739100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
58,4,1,292000.00000000,813604.00000000,168100.00000000,100000004007116100|100000003603979100|100000003616818100|100000004005964100,"{""distributor"": 1, ""peripheral"": 2, ""terminal"": 1}",Признаки распределительного контура; требует проверки.,real
59,2,0,25000.00000000,16500.00000000,0.00000000,100000006734554100|100000003617552100,"{""peripheral"": 1, ""terminal"": 1}",Контур наблюдаемых получателей; требует проверки.,real
60,8,0,1293308.00000000,47000.00000000,0.00000000,100000008011159100|100000006169033100|100000005182219100|100000006232642100|100000005754335100,"{""distributor"": 2, ""peripheral"": 2, ""terminal"": 4}",Признаки распределительного контура; требует проверки.,real
61,1,1,0.00000000,0.00000000,0.00000000,100000003770083100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
62,2,1,81465.00000000,0.00000000,0.00000000,100000003865939100|100000005392290100,"{""peripheral"": 1, ""terminal"": 1}",Контур наблюдаемых получателей; требует проверки.,real
63,1,1,0.00000000,0.00000000,0.00000000,100000004021459100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
64,6,1,383300.00000000,0.00000000,0.00000000,100000005546031100|100000005547096100|100000004331458100|100000008575624100|100000004094958100,"{""consolidator"": 1, ""peripheral"": 4, ""terminal"": 1}",Признаки контура консолидации; требует проверки.,real
65,2,0,10000.00000000,208000.00000000,0.00000000,100000004144536100|100000008774237100,"{""consolidator"": 1, ""peripheral"": 1}",Признаки контура консолидации; требует проверки.,real
66,1,1,0.00000000,0.00000000,0.00000000,100000004174835100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
67,3,1,450816.00000000,0.00000000,0.00000000,100000005034574100|100000007283257100|100000004388983100,"{""peripheral"": 1, ""terminal"": 2}",Контур наблюдаемых получателей; требует проверки.,real
68,1,1,0.00000000,0.00000000,0.00000000,100000005017150100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
69,1,1,0.00000000,0.00000000,0.00000000,100000005087431100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
70,1,1,0.00000000,0.00000000,0.00000000,100000005235389100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
71,1,1,0.00000000,0.00000000,0.00000000,100000005480435100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
72,1,1,0.00000000,0.00000000,0.00000000,100000005495722100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
73,1,1,0.00000000,0.00000000,0.00000000,100000005550592100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
74,1,1,0.00000000,0.00000000,0.00000000,100000005560900100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
75,1,1,0.00000000,0.00000000,0.00000000,100000005568407100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
76,2,0,26150.00000000,26150.00000000,0.00000000,100000008493007100|100000005685783100,"{""peripheral"": 1, ""transit"": 1}",Признаки транзитной цепочки; требует проверки.,real
77,5,2,108007.00000000,0.00000000,0.00000000,100000006562026100|100000006249740100|100000006831291100|100000007347733100|100000008129393100,"{""peripheral"": 2, ""terminal"": 3}",Контур наблюдаемых получателей; требует проверки.,real
78,1,1,0.00000000,0.00000000,0.00000000,100000008117324100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
79,1,1,0.00000000,0.00000000,0.00000000,100000008205000100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
80,1,1,0.00000000,0.00000000,0.00000000,100000008513251100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
81,1,1,0.00000000,0.00000000,0.00000000,100000008669037100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
82,1,1,0.00000000,0.00000000,0.00000000,100000008701222100,"{""peripheral"": 1}",Периферийная ветка; недостаточно данных для устойчивой гипотезы; требует проверки.,real
